resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Turkmenistan,2026-07-20,0.0,0.0002,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Tuvalu,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,UK,2026-07-20,0.0,0.0014,0.05,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,US,2026-07-20,0.0,0.0099,0.24,NORMAL,0.35,NORMAL,0.24,NORMAL
Daily,deepseek,Uganda,2026-07-20,0.0,0.0003,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Ukraine,2026-07-20,0.0,0.0004,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,United Arab Emirates,2026-07-20,0.0,0.0006,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Uruguay,2026-07-20,0.0,0.0002,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Uzbekistan,2026-07-20,0.0,0.0004,-0.17,NORMAL,-0.17,NORMAL,0.0,NORMAL
Daily,deepseek,Vanuatu,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Vatican City,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Venezuela,2026-07-20,0.0,0.0003,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Vietnam,2026-07-20,0.0,0.0026,-0.1,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Western Sahara,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Yemen,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Zambia,2026-07-20,0.0,0.0002,-0.15,NORMAL,-0.15,NORMAL,0.0,NORMAL
